,Pathway_Name,Gene_Found,Gene_Pathway,pvalue,pvalueAdj,Gene,,,"NCBI gene (formerly Entrezgene) ID,Gene name",,Percentage
,,,,,,,,,"6005,RHAG",,
,,,,,,,,,"7128,TNFAIP3",,
,,,,,,,,,"6364,CCL20",,
,,,,,,,,,"7029,TFDP2",,
,,,,,,,,,"10635,RAD51AP1",,
,,,,,,,,,"4495,MT1G",,
,,,,,,,,,"4751,NEK2",,
,,,,,,,,,"81788,NUAK2",,
,,,,,,,,,"140465,MYL6B",,
,,,,,,,,,"7037,TFRC",,
,,,,,,,,,"5996,RGS1",,
,,,,,,,,,"9928,KIF14",,
,,,,,,,,,"6637,SNRPG",,
,,,,,,,,,"6241,RRM2",,
,,,,,,,,,"729230,CCR2",,
,,,,,,,,,"9034,CCRL2",,
,,,,,,,,,"11004,KIF2C",,
,,,,,,,,,"969,CD69",,
,,,,,,,,,"5872,RAB13",,
,,,,,,,,,"3310,HSPA6",,
,,,,,,,,,"10148,EBI3",,
,,,,,,,,,"23179,RGL1",,
,,,,,,,,,"4171,MCM2",,
,,,,,,,,,"3725,JUN",,
,,,,,,,,,"4725,NDUFS5",,
,,,,,,,,,"991,CDC20",,
,,,,,,,,,"1163,CKS1B",,
,,,,,,,,,"1063,CENPF",,
